
name,start_date,end_date
Yılbaşı,2025-01-01,2025-01-01
Fırat Üniversitesi Final Haftası (Güz),2025-01-06,2025-01-17
Ramazan Bayramı,2025-03-31,2025-04-02
Ulusal Egemenlik ve Çocuk Bayramı,2025-04-23,2025-04-23
Fırat Üniversitesi Vize Haftası (Bahar),2025-04-14,2025-04-18
Emek ve Dayanışma Günü,2025-05-01,2025-05-01
Atatürk'ü Anma Gençlik ve Spor Bayramı,2025-05-19,2025-05-19
Fırat Üniversitesi Final Haftası (Bahar),2025-06-02,2025-06-13
Kurban Bayramı,2025-06-07,2025-06-10
Zafer Bayramı,2025-08-30,2025-08-30
Cumhuriyet Bayramı,2025-10-29,2025-10-29
Fırat Üniversitesi Vize Haftası (Güz),2025-11-10,2025-11-14
